Blog	four	second	music	want	place	types	series	service	needed	project	letter	tech	came	best	never	asked	much	life	worked	memorial	things	had	possible	right	old	easy	call	happy	later	time	minute	team	along	love	working	such	data	so	years	didn	internet	million	quite	open	city	future	san	turned	say	saw	take	pages	ways	slow	going	where	screen	many	wants	photos	former	single	summer	being	around	world	power	her	complete	am	cpu	th	small	past	full	hours	social	action	via	company	always	found	really	number	also	play	plan	writes	set	startup	see	seo	available	whole	community	readers	couple	d	anything	link	uk	ago	having	results	try	race	video	let	great	makes	next	process	high	move	doing	david	system	fact	should	printers	stuff	edition	email	etc	co	ve	site	off	web	government	five	become	does	problem	write	above	told	word	work	could	far	order	then	them	away	com	photo	board	night	marketing	months	way	war	together	known	cost	live	remember	still	space	looking	care	yourself	online	america	only	between	article	comes	these	media	real	read	early	using	business	start	lot	trying	sales	month	very	learned	family	put	help	actually	event	since	issue	launch	american	mobile	latest	pretty	during	x	won	probably	missing	both	else	while	used	user	popular	e	youtube	go	facebook	click	win	announced	started	control	links	him	university	special	times	need	able	based	written	group	party	well	page	twitter	home	north	star	amp	look	across	even	tips	ever	tell	rights	give	amazing	answer	president	before	personal	better	went	side	mean	content	matter	seen	don	m	points	bad	decided	said	against	appeared	three	website	left	human	yes	yet	down	form	drive	weekend	died	finally	me	did	run	boy	visit	making	may	man	maybe	talk	nbsp	interesting	thing	think	long	little	anyone	were	paid	especially	show	morning	enough	reading	according	those	different	pay	same	running	money	either	users	road	again	important	u	starting	children	public	search	share	coming	through	golfing	someone	another	house	hard	idea	members	done	part	built	build	find	please	point	simple	itself	yesterday	spent	source	big	bit	google	often	entire	private	themselves	ll	math	gear	super	national	almost	thought	happens	biggest	buy	minutes	every	school	street	changes	would	phone	my	keep	end	writers	over	writing	each	got	free	days	already	top	too	took	though	amazon	news	quickly	several	gave	donald	everything	who	two	trip	cool	doesn	says	water	today	trump	platform	happened	name	she	turn	white	season	any	ideas	sure	state	come	color	case	good	week	without	seems	blog	legal	everyone	follow	woman	list	version	short	might	health	friday	feel	story	store	kind	check	his	art	recently	creating	became	political	questions	question	fast	called	nice	microsoft	once	issues	deals	app	use	few	something	six	looks	our	york	which	why	thousands	words	view	stories	job	last	gets	other	know	because	lead	getting	own	made	whether	below	book	june
Matt Cutts: Gadgets, Google, and SEO	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	3	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	3	0	0	0	2	2	0	0	1	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	7	1	1	0	1	0	1	0	0	2	0	0	1	1	0	0	1	0	1	1	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0
Gothamist	2	2	1	0	0	0	0	1	0	1	2	0	1	0	0	0	1	3	0	10	3	4	1	0	10	0	0	0	1	5	0	0	1	0	1	2	0	5	3	0	0	3	1	2	8	0	0	1	2	0	0	0	0	0	5	0	0	3	0	1	1	0	5	3	2	5	3	2	1	0	0	3	2	2	1	1	1	0	0	0	0	1	0	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	3	0	5	0	1	0	1	0	1	0	0	0	0	0	0	1	1	4	1	0	2	0	0	0	0	2	0	0	1	1	0	0	1	1	1	0	0	0	6	0	2	1	3	0	0	1	1	0	6	1	1	1	0	1	0	0	1	0	0	1	1	1	0	2	0	0	1	1	0	0	1	2	0	1	2	1	0	0	7	0	0	0	0	2	0	0	2	0	0	3	1	0	5	0	0	1	0	3	0	3	1	0	0	2	0	2	1	2	0	2	0	2	0	0	1	0	1	0	3	2	0	1	0	0	3	2	0	1	0	0	0	0	0	0	2	0	0	3	1	0	0	1	0	5	1	1	0	0	3	0	0	2	0	1	0	0	3	1	0	0	8	1	0	1	1	1	7	0	0	2	2	0	0	7	0	2	2	0	1	1	6	0	0	0	5	1	0	0	2	0	0	1	1	0	0	0	2	0	0	0	2	0	2	1	0	1	3	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	5	0	1	0	1	0	5	0	6	0	0	2	2	1	1	3	1	1	1	0	0	0	0	0	2	0	7	2	0	0	0	0	1	7	10	0	2	1	7	0	1	3	1	0	0	0	0	0	0	1	8	3	0	0	0	0	3	3	0	0	0	0	0	3	1	0	2	0	2	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	4	2	4	3	0	0	0	3	2	12	0	1	1	4	0	0	0	1	0	2	0	0
Joho the Blog	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	2	2	0	2	0	0	0	0	6	0	0	2	5	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	5	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	10	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	2	0	0	0	0	2	1	0	2	2	2	0	3	0	0	0	0	1	0
ongoing by Tim Bray	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	1	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	2	1	1	4	2	0	0	0	0	2	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	2	1	0	1	2	0	0	2	0	0	0	2	0	0	0	4	2	0	0	0	2	2	1	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	5	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	5	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	2	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	9	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	2	1	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	4	1	2	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0
Neil Gaiman's Journal	7	2	6	20	10	0	4	2	5	5	3	0	16	7	17	5	36	16	4	7	57	73	3	17	16	4	8	14	6	41	2	3	5	17	4	9	0	56	18	12	5	0	3	1	2	0	2	2	14	2	12	6	6	0	35	16	3	15	1	11	2	2	2	18	17	29	3	32	3	17	0	15	8	2	7	7	1	0	3	0	10	13	28	1	26	2	3	2	7	0	19	0	5	7	1	2	8	35	7	15	36	18	13	2	4	2	4	10	11	6	17	2	5	1	19	1	1	1	19	0	11	7	6	3	8	31	4	12	1	1	1	6	3	7	17	4	15	6	20	31	2	6	23	40	15	34	12	3	18	0	12	18	1	11	5	1	4	3	17	2	7	3	6	11	2	27	15	2	7	13	4	7	27	3	7	3	5	8	10	2	7	25	4	15	20	15	18	14	8	20	4	5	0	1	7	2	0	10	9	2	10	4	17	4	0	1	5	1	21	6	4	3	3	5	2	3	42	2	2	4	15	5	2	11	0	1	16	4	5	6	0	1	4	13	4	20	0	15	7	3	7	6	1	0	24	3	6	21	4	5	2	3	9	12	59	0	5	2	32	2	0	15	2	11	6	3	7	6	2	1	1	1	2	93	22	12	0	4	10	12	5	2	10	327	3	20	19	21	9	10	58	6	8	10	9	10	3	0	5	9	10	7	4	17	2	0	0	9	4	0	2	7	13	0	2	11	12	0	6	10	6	7	17	1	8	16	0	1	14	1	2	2	3	4	7	0	7	11	1	3	4	3	4	25	0	0	0	2	8	11	2	0	7	1	9	2	1	1	41	12	67	3	18	8	27	24	10	15	9	19	8	6	20	5	8	9	8	0	1	10	0	13	55	25	2	3	8	4	1	6	0	0	8	6	44	1	7	0	13	4	5	1	13	0	6	37	19	9	11	14	4	4	1	5	8	7	9	6	0	8	4	22	3	7	1	53	71	2	0	4	0	9	1	3	16	9	0	7	9	0	2	11	17	22	2	5	31	6	47	16	5	10	16	27	0	29	3	24	15	34	1	11	8	20	4	0	66	0
Joel on Software	4	1	1	25	4	2	1	0	3	6	3	0	2	5	10	2	8	1	3	0	22	12	3	6	4	4	4	3	1	20	5	11	0	4	5	2	0	59	7	9	5	6	2	10	6	3	1	0	3	2	7	2	2	2	11	11	0	7	2	0	0	5	0	6	11	10	1	0	2	2	0	2	4	0	4	4	2	1	0	10	4	6	15	7	4	1	2	0	4	0	8	0	4	3	2	1	1	3	2	0	0	0	1	0	3	1	0	11	26	10	6	12	1	4	4	0	15	5	8	0	5	0	2	4	2	7	6	6	4	1	3	0	2	2	2	0	1	2	22	16	0	1	9	30	1	0	0	18	0	1	9	15	2	3	2	2	1	1	8	1	0	2	2	3	1	7	4	0	1	10	0	2	5	3	15	8	8	16	8	1	3	9	0	2	2	9	12	1	8	0	0	0	0	0	4	1	1	1	2	0	10	4	9	6	5	2	0	0	13	0	2	2	0	4	9	0	1	0	0	1	15	3	2	2	1	0	6	2	2	1	0	0	6	7	0	21	0	2	3	0	2	2	6	0	5	1	12	2	3	2	1	3	2	22	7	3	5	5	3	0	0	9	0	1	2	2	2	8	0	10	0	0	0	12	5	1	0	7	6	7	0	3	1	22	2	8	11	6	10	3	13	2	1	1	0	3	2	0	14	9	11	4	3	22	4	13	1	0	1	0	5	0	4	6	1	1	3	0	1	0	0	5	8	3	6	2	7	8	11	2	7	2	3	0	3	8	14	8	3	5	1	2	0	10	2	0	3	0	3	7	1	3	4	4	24	0	1	2	12	1	7	7	2	0	8	6	5	10	11	6	9	2	9	2	6	1	3	3	2	0	0	12	19	12	0	1	9	1	2	9	0	0	0	0	0	1	0	0	19	9	7	0	5	1	3	6	1	5	2	5	3	5	1	0	6	10	3	17	1	0	4	2	1	10	2	0	16	1	1	2	0	6	2	3	8	1	9	2	0	0	3	11	9	9	3	1	32	1	32	9	2	4	3	0	18	2	1	15	12	19	2	9	8	4	1	0	0	0
The Full Feed from HuffingtonPost.com	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	4	0	6	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	1	0	1	0	1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	7	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	2	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	6	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	2	0	0
Search Engine Watch	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	2	0	0	0	2	0	0	1	0	1	0	0	0	0	0	5	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	5	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0
Daily Kos	0	3	0	12	8	3	2	0	3	3	2	3	8	4	10	8	17	8	1	17	15	23	5	14	8	7	6	3	3	25	1	3	0	1	5	9	4	41	10	10	0	7	2	8	10	9	2	0	12	3	6	0	5	0	8	18	0	18	7	0	4	6	6	18	10	16	6	18	3	8	0	13	3	13	8	5	3	2	1	4	5	13	4	6	18	1	2	4	7	0	9	0	2	5	4	0	2	3	3	2	0	4	2	4	4	10	8	13	5	2	13	4	13	5	4	9	8	10	18	0	0	4	0	0	2	16	1	10	0	3	4	8	6	1	0	2	5	7	10	12	9	3	20	23	2	3	1	3	6	0	5	17	25	2	3	2	18	6	16	4	5	4	1	2	9	19	9	5	2	14	1	7	6	2	7	3	5	6	5	1	5	6	2	6	5	6	5	2	14	2	2	21	0	4	3	3	8	12	5	2	11	4	20	9	0	4	1	4	7	0	0	5	2	7	7	1	27	6	0	14	10	2	3	2	4	23	11	2	3	12	4	1	8	2	9	23	0	5	2	6	1	1	6	11	9	4	3	3	6	4	4	7	9	16	17	7	5	2	21	17	0	10	1	7	1	4	8	17	2	1	5	3	0	11	16	2	2	3	10	28	9	3	3	0	2	8	15	7	8	4	56	10	4	21	9	3	1	10	18	6	4	13	3	2	3	0	3	10	3	14	2	3	7	2	2	2	10	0	5	7	6	7	8	0	5	5	4	4	7	5	3	4	5	1	2	4	2	3	0	11	2	2	7	6	0	0	2	8	2	8	4	0	1	4	17	11	3	2	29	2	20	4	5	0	24	2	5	7	6	8	7	10	14	10	6	0	15	2	4	2	30	5	50	14	1	0	6	11	6	17	84	4	4	9	18	0	16	2	20	5	8	28	10	4	11	10	22	7	3	4	5	10	2	4	3	4	2	8	6	6	2	9	2	4	3	45	0	4	2	4	10	7	4	2	9	0	0	9	6	1	2	6	10	11	4	6	27	6	35	13	5	8	4	5	4	15	2	29	14	28	2	7	9	8	8	7	2	2
Kotaku	0	1	0	0	0	0	1	0	0	1	0	2	1	3	1	0	2	4	1	2	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	1	0	0	0	1	3	2	0	1	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	2	0	1	0	0	0	1	0	0	0	2	1	0	4	0	1	0	0	0	0	0	0	0	0	2	1	2	0	0	0	5	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	2	3	0	2	1	1	2	0	1	2	0	1	1	1	2	0	0	2	0	0	0	2	1	1	0	0	0	1	0	2	24	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	1	0	0	0	2	1	1	1	1	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	3	2	1	0	0	1	2	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	3	1	0	2	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	0	0	1	1	1	0	0	0	2	1	0	0	0	0	2	2	0	1	0	0	0	2	2	2	0	1	2	0	0	0	0	0	0	2	0	0	2	0	1	0	3	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	2	0	0	0	1	0	0	2	0	1	4	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	6	0	1	0	0	0	0	0	1	2	0	0	2	1	1	0	1	0	0	0	0	4
Derek Powazek	0	0	0	1	0	0	0	0	0	0	0	1	1	1	3	0	1	5	1	0	1	3	1	4	2	2	1	4	1	4	0	0	1	1	0	0	0	7	5	1	1	0	0	1	0	0	2	2	3	0	1	0	1	0	4	0	0	1	0	2	0	1	1	0	1	3	0	9	0	3	0	0	2	0	1	0	0	0	0	1	4	1	2	1	2	0	0	0	0	0	3	0	1	0	3	2	4	2	1	2	0	2	0	0	1	0	0	1	5	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	11	2	1	1	0	0	0	0	0	3	0	0	3	3	1	0	0	7	2	1	1	0	0	2	1	2	0	0	1	0	2	2	0	4	0	1	0	1	2	0	1	4	0	1	2	2	0	0	1	1	1	0	1	0	0	0	1	0	1	1	0	0	0	1	8	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	0	0	1	4	0	0	0	1	2	0	0	2	0	2	1	1	1	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	1	0	1	0	2	1	0	1	0	0	3	0	0	1	0	1	4	12	0	3	1	3	1	0	4	0	1	0	1	1	2	0	0	0	0	0	15	4	0	3	1	0	0	1	1	3	0	0	4	4	1	7	0	2	1	2	3	2	5	4	0	1	0	0	3	0	3	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	3	0	3	0	2	1	2	0	0	1	0	0	1	2	0	3	0	1	0	0	2	0	0	0	4	0	1	0	0	1	1	1	0	1	1	3	0	1	0	0	0	22	0	0	3	5	2	1	1	0	4	1	2	2	3	0	0	1	0	0	2	0	2	1	9	0	2	0	0	0	2	0	0	0	0	7	0	1	0	0	0	1	0	3	0	0	1	3	0	0	1	0	1	1	2	0	0	1	1	0	2	5	3	0	1	0	3	0	0	0	1	0	1	0	1	0	2	0	2	2	0	0	0	5	8	2	0	3	0	2	1	0	0	0	1	1	7	2	3	6	3	0	2	2	2	0	0	6	0
Jeremy Zawodny's blog	1	3	0	3	1	3	1	2	2	0	0	0	1	2	3	4	4	1	3	0	5	17	2	5	0	0	1	2	2	23	2	3	5	0	4	3	4	23	8	11	2	0	1	0	0	2	3	0	6	2	3	0	0	5	8	8	1	3	2	5	1	1	0	4	3	1	0	1	2	4	3	0	5	0	3	0	1	0	1	2	1	1	12	2	7	0	0	0	4	0	10	0	2	1	0	0	2	13	2	0	0	6	5	1	4	0	0	0	2	4	5	0	6	0	2	0	1	3	6	0	2	0	3	2	0	7	1	5	0	0	0	0	3	2	2	3	2	0	6	13	2	0	16	7	4	0	0	2	2	0	0	13	0	2	1	1	0	3	4	0	2	0	1	0	0	7	2	0	0	1	1	1	3	0	4	4	1	7	3	0	0	16	2	0	2	5	1	0	7	2	0	0	0	0	1	2	3	0	6	2	4	1	6	1	0	0	0	0	9	0	0	0	0	1	2	0	4	0	0	3	5	0	0	1	4	0	7	0	1	1	0	0	0	0	8	4	0	3	0	0	3	0	0	0	12	0	2	6	1	1	1	1	2	1	6	0	0	6	2	1	3	1	0	4	0	0	2	25	2	0	0	1	1	17	7	1	0	2	1	5	0	3	3	0	3	3	3	10	2	2	24	0	2	0	0	2	4	0	2	1	0	3	1	0	3	2	0	0	4	0	0	0	2	1	0	3	2	0	0	4	0	5	2	1	0	0	0	1	2	3	4	0	1	2	1	0	0	11	0	2	3	1	0	8	0	2	0	0	0	0	2	0	3	4	1	0	0	3	8	0	21	2	5	0	9	0	5	8	1	0	1	4	5	6	1	0	0	1	3	3	0	2	5	6	3	1	1	0	13	3	0	9	2	3	2	4	0	0	2	0	3	0	1	1	1	6	4	1	3	3	0	4	1	0	1	0	3	2	0	0	1	0	0	0	2	10	0	2	0	0	0	1	0	3	2	3	1	1	0	1	0	10	13	7	0	0	22	0	9	5	0	0	1	1	1	2	1	8	5	6	4	6	0	7	0	4	1	0
Captain's Quarters	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	2	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
